site_no,n_sequences,overall_RMSE,overall_MAE
02339495,27.0,24788.60123550742,17014.584395580605
02342500,61.0,66141.33829361036,45661.2304407814
023432415,0.0,,
02361000,1.0,67640.03749342135,59354.87809299999
02361500,0.0,,
02362000,2.0,660509.624711457,532292.2888809876
02362240,7.0,7585.493222669581,5558.905077854263
02363000,23.0,56115.002366843866,46555.9453189902
02364500,40.0,403355.63639818033,333678.8761289259
02369800,31.0,56801.864906292874,48612.63333731579
02371500,34.0,67260.10305269583,57914.433687643985
02372250,5.0,55744.346824447144,50382.678626164256
02372422,2.0,157435.05771644023,141492.18590859574
02372430,0.0,,
02373000,28.0,62419.75439575404,52713.07424454143
02374250,9.0,745498.012822992,703596.8174384878
02374500,16.0,75773.31444300014,63392.96412070014
02374700,14.0,150433.19787724738,132350.9000764331
02374745,0.0,,
02374950,11.0,97107.32877588843,85790.42082414724
02375000,3.0,135522.71848681459,112986.5304136434
02377570,0.0,,
02378300,1.0,30458.70365630925,30234.326979878784
02378500,3.0,20869.906750314112,19323.510075733335
0237854520,0.0,,
02397530,0.0,,
02398300,2.0,142504.03103962913,138078.94484666665
02398950,12.0,2881.623680565451,1665.1120207814818
02399200,74.0,22243.477631759615,15790.91934433286
02400100,42.0,100613.0232770917,88936.3066615541
02400680,6.0,19378.46799960262,17488.259880435147
02401000,58.0,76989.86217404323,68391.72212714687
02401390,99.0,64856.041512093754,51179.00169988066
02401895,14.0,81648.71082909162,72987.52346356722
02403310,0.0,,
02404400,28.0,209769.7321659998,191208.595014871
02405500,88.0,43542.3905043876,31026.05449749161
02406500,3.0,59734.14696179788,57679.88143193702
02406930,0.0,,
02407000,9.0,3922079.232548104,3641414.496718988
02407514,30.0,20662.569893684144,14185.205767756086
02408150,3.0,5651.500603106899,5217.742162922666
02408540,29.0,86721.91184623052,68956.28807250575
02412000,12.0,66618.21972840991,52465.543385692945
02413300,0.0,,
02414500,56.0,866423.9704372373,710538.1869605822
02414715,16.0,1050901.7586256813,893776.886435038
02415000,38.0,54684.56438146261,42613.26605589045
02418230,1.0,6617.894885146761,6001.342357647059
02418760,4.0,3857.643052287037,3223.6782583194636
02419000,77.0,57158.22414150216,45048.40543187534
02419890,0.0,,
02420000,0.0,,
02421000,20.0,3925.5844999785404,2367.67842606278
