site_no,n_sequences,overall_RMSE,overall_MAE,latitude,longitude,drain_area_sqmi
01010000,114.0,543940.2066485796,430552.6829216435,46.70055556,-69.7155556,1338.0
01010070,69.0,101694.13380858814,84145.79624873416,46.89388889,-69.7516667,194.0
01010500,132.0,1082370.1559034924,846087.7146851937,47.11305556,-69.0880556,2695.0
01011000,165.0,662555.4106628824,555463.47859857,47.0697222,-69.0794444,1478.0
01013500,182.0,628233.2341625872,517216.6553147848,47.2375,-68.58277778,870.0
01014000,174.0,2406919.221478141,1893910.5736375828,47.2833333,-68.58527778,5929.0
01015800,136.0,581519.4971943875,489753.888452127,46.52305556,-68.3716667,894.0
01017000,164.0,1052902.962547387,895206.1530734625,46.7772222,-68.1572222,1653.0
01017060,23.0,3139.855065171925,2573.538832292333,46.7836111,-67.9891667,5.72
01017290,29.0,137030.74564366724,114873.27991678906,46.8886111,-67.945,233.0
01017550,39.0,2350.3767681283794,1941.190151238912,46.62805556,-67.9530556,3.97
01017960,38.0,70527.35274605337,54890.66867110499,46.105,-67.88138889,87.4
01018009,26.0,4582.8214507148505,3546.646280404272,46.11527778,-67.84027778,6.88
01018035,33.0,191201.5341203732,150069.30889039594,46.1811111,-67.80388889,255.0
01018500,184.0,472120.89153754496,383934.8732392064,45.5683333,-67.4283333,410.0
01019000,194.0,272624.57188094687,217981.10240760937,45.1725,-67.76888889,224.0
01021000,69.0,1677595.84344006,1481357.3104958206,45.1369444,-67.3180556,1366.0
01021470,25.0,6132.708328479488,5161.5522590621595,44.8008333,-67.725,6.42
01021480,39.0,20483.317455134453,16547.477703193978,44.9369444,-67.7361111,29.9
01022500,113.0,164306.90458910458,130806.50186979276,44.60805556,-67.93527778,227.0
01022840,24.0,511.124044375227,392.5877979959044,44.33277778,-68.2066667,1.36
01027200,27.0,122132.7044929785,104589.76458301656,45.93527778,-69.9936111,223.0
01027240,15.0,103292.21546919557,84314.965710336,45.8739222,-69.9950083,183.0
01029200,48.0,138909.61515748076,113791.88252306989,46.14305556,-68.6336111,174.0
01029500,172.0,853182.8618096134,704686.2323393014,45.73027778,-68.5894444,837.0
01030350,30.0,38363.8512787883,28853.056097466382,45.7086111,-68.1580556,48.9
01030500,177.0,935075.593969078,737315.8432628307,45.5011111,-68.3058333,1419.0
01031300,43.0,71972.17715990491,56895.09064834018,45.2672222,-69.58388889,115.0
01031450,48.0,64130.09103504812,50108.72320906726,45.1844444,-69.4522222,95.0
01031500,227.0,197312.86994260064,159423.72921361082,45.175,-69.3147222,296.0
01031510,20.0,14750.488099635068,11321.66935756511,45.15027778,-69.23638889,26.7
01033000,130.0,564182.4115509647,432521.63241508143,45.27,-69.1122222,325.0
01034000,169.0,1012914.1854990218,852901.5406760558,45.26055556,-68.8686111,1162.0
01034500,235.0,6444986.9399478985,5511585.242903482,45.2361111,-68.65138889,6422.0
01036390,40.0,9798019.579457313,8571250.163848799,44.82666667,-68.6966667,7515.0
01037000,37.0,117387.75920762676,89317.8034118144,44.8611111,-68.8316667,195.0
01037380,40.0,8094.291942211624,5434.2566768474735,44.32916667,-69.0608333,15.1
01038000,148.0,94395.24065817018,74466.98723652193,44.22277778,-69.59388889,146.0
01042500,42.0,1237174.819390217,1039001.3857490527,45.3397222,-69.9619444,1590.0
01043500,66.0,395096.71932187065,300398.4688820737,45.22905,-70.20112778,519.0
01044550,37.0,136229.53442474108,112152.6823143788,45.3136111,-70.2416667,199.0
01046000,99.0,55194.47749428958,44079.27428549741,45.0644444,-69.8805556,90.2
01046500,65.0,4165813.488686419,3755923.108054573,45.0519444,-69.8855556,2724.0
01047000,187.0,246523.1375910688,205704.7565678628,44.86916667,-69.955,352.0
01047150,20.0,2251409.084215411,1802291.877136842,44.77888889,-69.8869444,3256.0
01047200,22.0,23284.557459360443,19167.45000029025,44.85777778,-70.48527778,25.1
01048000,156.0,325915.67904956825,260703.08201467275,44.70805556,-69.9375,516.0
01048220,27.0,12868.85504673629,9858.898031736666,44.9475,-69.6569444,19.6
01049265,67.0,6103247.771692607,5175757.54927176,44.4722222,-69.68388889,5413.0
01049500,83.0,208637.2290951013,157893.0845590696,44.22916667,-69.7780556,216.0
01052500,91.0,123522.05027636948,109253.1727744678,44.8775,-71.0575,152.0
01053500,93.0,713299.59243198,583798.472419774,44.7825,-71.1286111,1046.0
01053600,20.0,1004484.9172733548,825891.2461954188,44.6661111,-71.18138889,1177.0
01054000,95.0,629170.5057975705,509564.6382812217,44.4358333,-71.19027778,1361.0
01054114,15.0,36697.1348007152,32790.02923110977,44.38131944,-71.1706556,46.27
01054200,88.0,55698.42222387667,46708.63288074638,44.39055556,-70.9797222,70.1
01054300,76.0,93111.89827214608,77232.04381806454,44.5933333,-70.7330556,131.0
01054500,206.0,1513187.9203952693,1256047.3818965575,44.5519444,-70.5441667,2067.0
01055000,137.0,70263.09945775034,58377.41809448069,44.64277778,-70.58888889,96.4
01055500,128.0,100183.48095993012,79422.80061538822,44.26944444,-70.22972222,170.0
01057000,157.0,41399.927834635215,31654.775159610137,44.30388889,-70.5397222,73.9
01059000,195.0,4795611.070232378,4102713.744125091,44.0722222,-70.2080556,3266.0
01060000,101.0,73380.13063905324,60505.07049049573,43.79915,-70.1782694,142.0
01063310,45.0,659.6394835118202,477.9476393658377,43.85555556,-70.6397222,1.3
01064140,19.0,632976.38351891,547622.2969259801,43.7245972,-70.3029333,598.0
010642505,23.0,79065.47196377738,66680.96173622942,44.08388889,-71.2855556,91.0
01064500,177.0,375385.45125313185,323262.0075070924,43.9908333,-71.0905556,385.0
01064801,43.0,47540.75421914509,37893.06840522853,43.83007396,-71.2878488,67.6
01066000,209.0,1860485.8565570896,1634113.5307791955,43.80805556,-70.7816667,1294.0
01067950,27.0,14152.698302065815,10710.150078364084,43.4322222,-70.5533333,26.1
01068910,28.0,39242.21857626098,34332.97519053257,43.4183333,-70.7380556,44.9
01069500,84.0,113578.02946003004,89131.56487322222,43.4183333,-70.6583333,98.8
01069700,16.0,9393.464050194152,7948.980165477648,43.37916667,-70.5833333,9.19
01072800,41.0,40765.05968696373,31875.045666782,43.26841527,-70.9736739,79.9
01072870,28.0,38217.42003553425,27821.751120139572,43.23480487,-70.9564507,73.6
01073000,133.0,5073.45720518205,3869.1580271562543,43.1486955,-70.9650603,12.1
01073319,21.0,17629.74320092847,11773.071801504617,43.04138889,-71.2016667,55.7
01073500,122.0,92632.33691117784,71140.71541358337,43.10258558,-70.952559,185.0
010735562,18.0,5902.726520803314,3712.281849472506,42.94897557,-71.16478279,16.1
01073587,36.0,30202.3428776995,21148.22734361856,42.9845316,-71.038392,63.5
01073785,27.0,6056.270007559103,4487.083210583988,43.0358333,-70.8475,14.1
01074520,43.0,130132.31954157002,116462.78703645869,44.0475669,-71.6598029,115.0
01075000,83.0,164418.72884132815,143288.56441109034,43.9761792,-71.6795244,193.0
01076000,97.0,81182.73423480908,66687.67139151515,43.79562647,-71.8453594,143.0
01076500,187.0,478881.13842285634,408330.6100359049,43.7592388,-71.6856337,622.0
01077400,17.0,7654.220530689317,5319.203895960586,43.70388889,-71.8333333,21.4
01078000,170.0,44762.085477294255,36653.48676963291,43.56646307,-71.747857,85.8
01081000,121.0,333019.0531980154,281360.7156589015,43.44174376,-71.5875752,471.0
01081500,182.0,1726595.3967587713,1487163.09292361,43.42285456,-71.6528543,1507.0
01082000,82.0,48948.14280263954,39724.42241153066,42.8625837,-71.95924609,68.1
01083000,48.0,37164.49051810089,30821.95331109602,42.8928607,-71.9867469,44.0
01085000,74.0,301062.4430483837,253495.56127969295,43.1520237,-71.85730149,368.0
01085500,72.0,340944.54992610397,271399.0917081633,43.1928569,-71.7472995,427.0
01086000,100.0,89150.9710826464,68635.58536274769,43.25091159,-71.7322996,146.0
01087000,119.0,72178.55322533024,59083.67955410523,43.2970225,-71.6945212,129.0
01089500,96.0,88919.30779073651,69515.44503907485,43.25674759,-71.36951248,157.0
01089925,11.0,108480.93497692164,80049.14809066971,43.15980438,-71.4059011,240.0
01090800,40.0,25020.389383260168,19885.213242502443,43.0914705,-71.6595182,63.1
01091000,85.0,49899.84508373003,38745.238763486595,43.01480519,-71.64146129,104.0
01091500,67.0,108046.6026059007,81485.56440692264,43.01675,-71.5506252,202.0
01092000,168.0,3475301.191501159,2951597.592742357,42.9481405,-71.4634002,3092.0
01093852,23.0,54992.68583095685,41748.9156489704,42.8425858,-71.7067399,103.0
01094000,133.0,101375.96628757768,83733.83565696397,42.8575865,-71.5061785,171.0
01094400,64.0,47776.6280300651,39300.392230414815,42.57620079,-71.7881285,64.2
01094500,123.0,92267.9528068712,80664.61161597117,42.49506389,-71.7219333,110.0
01095220,38.0,12616.568074338798,9476.904659039072,42.41080875,-71.7911516,29.1
01095375,43.0,22367.706710573493,17482.746957738033,42.37286967,-71.8281279,46.3
01095434,12.0,1279.3784142967274,1003.0840842745826,42.36453675,-71.775349,3.13
01095503,20.0,65988.981932498,40329.17145857248,42.41944444,-71.6661111,110.0
01096000,104.0,35444.25829222837,29149.756245322467,42.63425619,-71.6578479,65.9
01096500,137.0,352436.41381330247,295617.6540065836,42.66758945,-71.57506809,435.0
010965852,63.0,23168.63381442397,17061.433259112826,42.78286636,-71.35367448,47.8
01097000,125.0,91590.56973550883,74604.91077106306,42.432038,-71.4497848,116.0
01097300,82.0,5383.141542704286,3907.386384607545,42.51259289,-71.40422829,12.8
01097480,5.0,15898.93119397274,13459.225133634782,42.25997508,-71.4564197,35.1
01098500,17.0,11160.097390515082,7436.283810313157,42.31514167,-71.38380833,17.5
01098530,58.0,75147.86680216,58740.35476842444,42.3253732,-71.3975605,106.0
01099500,130.0,379891.09235593514,311128.55186603055,42.6367581,-71.3020047,400.0
01100000,184.0,5460680.760840214,4677516.528087863,42.64592464,-71.2983937,4635.0
01100505,54.0,16044.71815784088,9750.946961904438,42.8492547,-71.2150607,16.5
01100561,29.0,30081.26003989724,21173.686945726564,42.7431456,-71.208393,62.1
01100600,80.0,20120.096831328283,15696.79554790654,42.5681488,-71.2147792,36.5
01100627,26.0,47409.42075360965,37219.94546771291,42.6714806,-71.1492239,72.8
01101000,113.0,14880.269104911176,10559.558136136897,42.75286948,-70.9456096,21.3
01101500,126.0,22055.892052222785,15786.317335615888,42.56953869,-71.0269974,44.5
01102000,134.0,85088.73537601343,64060.90283630912,42.6598157,-70.8936622,125.0
01102345,36.0,7231.221574694648,5449.034162912,42.46941579,-71.0069588,20.8
01102500,94.0,8435.793682698977,6049.4030943506505,42.4474568,-71.1380816,24.5
01103025,12.0,6317.546909801926,5659.214694482123,42.40691687,-71.1339079,8.36
01103280,30.0,34890.653174571424,26982.70308153558,42.1398197,-71.3895032,65.7
01103455,12.0,2251.08926023554,1866.744561445699,42.25398645,-71.29339017,3.72
01103500,127.0,125555.2727018256,99703.350282142,42.256209,-71.2600558,183.0
01104200,92.0,149475.1417727198,121678.58724126696,42.3164861,-71.227833,211.0
01104370,16.0,3492.955683519943,2784.9971439605793,42.38555556,-71.2894444,10.2
01104405,7.0,436.6617624657206,272.4317514435695,42.43636172,-71.26946767,2.16
01104410,3.0,119.34121691409771,66.92613100666667,42.43648406,-71.2642235,0.35
01104415,15.0,164.74505730830646,94.6627267724332,42.43592855,-71.2600567,0.41
01104420,13.0,268.36674049921646,189.5604819571831,42.4198177,-71.2575565,0.73
